,모집 제목,회사,link,위치,필요 조건,마감일
5725,"해외자원 개발 팀장 구인. 증권사 IB / M&A 경험자, 관련 은퇴자 선호",㈜지비이노베이션,https://www.jobkorea.co.kr/Recruit/GI_Read/48330528?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5726&sc=630,서울 서초구,경력10년↑,03/03
5726,더플래너에서 과학기술 연구개발 기획 담당자를 모십니다.,더플래너,https://www.jobkorea.co.kr/Recruit/GI_Read/48444881?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5727&sc=630,세종,경력무관,02/02
5727,회계 실무 담당자 채용 ( 부동산 개발 시행사 경력 필수 ),한국재개발재건축㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48327273?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5728&sc=630,서울 영등포구 외 5,경력5년↑,01/30
5728,정부 지원 사업 계획서 작성 및 사업 개발 담당자,로브콜,https://www.jobkorea.co.kr/Recruit/GI_Read/48418303?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5729&sc=630,서울 종로구,경력3년↑,02/14
5729,[정규직/강남역] 상품개발 담당자 채용(일본어 가능자),㈜에이젝코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/48318636?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5730&sc=630,서울 강남구,신입·경력3년↑,02/20
5730,기계 설계 담당자 정규직 채용(사원) NEW ITEM 개발,㈜엠엠티,https://www.jobkorea.co.kr/Recruit/GI_Read/48406155?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5731&sc=630,인천 연수구,신입·경력2년↑,02/12
5731,(주)북이십일 출판부문 도서 기획/개발 담당자 채용,㈜북이십일,https://www.jobkorea.co.kr/Recruit/GI_Read/48420771?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5732&sc=630,경기 파주시,경력3년↑,02/28
5732,[교원 본사] 스마트 학습 콘텐츠 입력개발 담당자 채용(계약직),㈜교원,https://www.jobkorea.co.kr/Recruit/GI_Read/48344129?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5733&sc=630,서울 중구,경력무관,02/04
5733,아티브(artive) 배우컨설팅 컴퍼니  신인개발컨설팅매니져 채용,㈜아티브(ARTIVE),https://www.jobkorea.co.kr/Recruit/GI_Read/48358257?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5734&sc=630,서울 강남구,경력무관,02/05
5734,3D프린터 개발품질관리팀(QC / QA) 담당자 모집,㈜캐리마,https://www.jobkorea.co.kr/Recruit/GI_Read/48482722?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5735&sc=630,서울 강서구,신입·경력,03/27
5735,(주)위즈돔 플랫폼개발본부-정보보호 담당자 채용,㈜위즈돔,https://www.jobkorea.co.kr/Recruit/GI_Read/48343851?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5736&sc=630,경기 성남시,경력3년↑,02/04
5736,대한상공회의소 인력개발사업단 해외사무소 인력매칭 담당자 채용,대한상공회의소,https://www.jobkorea.co.kr/Recruit/GI_Read/48437182?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5737&sc=630,서울 중구,경력8년↑,02/05
5737,[리헨느] 화장품 상품개발·기획 담당자  모집 / 재택근무,㈜리헨느,https://www.jobkorea.co.kr/Recruit/GI_Read/48397958?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5738&sc=630,광주 남구 외 1,경력3년↑,02/11
5738,[경기 이천] 간편식 및 소스 기획 개발 R&D 담당자 모집,푸드서플라이,https://www.jobkorea.co.kr/Recruit/GI_Read/48392957?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5739&sc=630,경기 이천시,경력3년↑,03/13
5739,더모임컴퍼니(주) 국가연구개발과제 R&D 기획 경력자 모집,더모임컴퍼니,https://www.jobkorea.co.kr/Recruit/GI_Read/48449032?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5740&sc=630,서울 강서구,경력,02/19
5740,[아발론교육 자회사]  아발론교육 영어교재/컨텐츠 개발 직원 채용,㈜아발론교육,https://www.jobkorea.co.kr/Recruit/GI_Read/48166881?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5741&sc=630,경기 성남시,경력1년↑,01/31
5741,[2차전지] 티에스아이 제어팀 프로그램 개발 담당자 채용,티에스아이,https://www.jobkorea.co.kr/Recruit/GI_Read/48414359?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5742&sc=630,경기 화성시,경력무관,02/13
5742,[프나시어] 바이오 / 생화학 연구개발 및 기획 담당자 모집,㈜프나시어,https://www.jobkorea.co.kr/Recruit/GI_Read/48220454?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5743&sc=630,경기 수원시,경력2년↑,01/30
5743,(주)진명프리텍 소재개발팀 시험평가업무 담당자 모집,㈜진명프리텍,https://www.jobkorea.co.kr/Recruit/GI_Read/48352664?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5744&sc=630,인천 남동구,경력무관,01/31
5744,기술개발팀(설계) FAN & BLOWER 전장설계 경력자 모집,현대선기㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48466664?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5745&sc=630,인천 서구,경력1년↑,02/21
5745,베이커리 매장에서 제품생산 및 제품개발 담당자를 모십니다.,㈜레아그룹,https://www.jobkorea.co.kr/Recruit/GI_Read/48384493?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5746&sc=630,경기 고양시,경력,01/30
5746,"신인개발, 오디션 진행 및 관리 담당자 채용 (주니어팀)",캐스팅하우스,https://www.jobkorea.co.kr/Recruit/GI_Read/48476967?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5747&sc=630,서울 강남구,신입·경력,02/23
5747,(주)고무나라 구매MD·제품개발 담당자 모집 (경력/신입),고무나라,https://www.jobkorea.co.kr/Recruit/GI_Read/48174529?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5748&sc=630,경기 남양주시,경력무관,02/02
5748,"[앱스필] 수처리 연구개발 담당자 모집(신입,경력)",앱스필,https://www.jobkorea.co.kr/Recruit/GI_Read/48348580?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5749&sc=630,경기 오산시,신입·경력3년↑,02/04
5749,[트래블월렛] 사업개발 담당자 (결제·송금) - 3년 이상,㈜트래블월렛,https://www.jobkorea.co.kr/Recruit/GI_Read/48472436?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5750&sc=630,서울 강남구,경력3년↑,02/22
5750,"(주)퍼스트에이엔티 커피 메뉴개발, 상품기획, R&D 담당자 채용",㈜퍼스트에이엔티,https://www.jobkorea.co.kr/Recruit/GI_Read/48396639?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5751&sc=630,서울 마포구,경력5년↑,02/11
5751,"신속 진단키트 연구개발, 평가시험 등록 경력자 채용공고",㈜에스엘에스바이오,https://www.jobkorea.co.kr/Recruit/GI_Read/48454979?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5752&sc=630,경기 수원시,경력3년↑,02/20
5752,[카카오페이손해보험] 장기보험 상품기획/개발 담당자 모집,㈜카카오페이손해보험,https://www.jobkorea.co.kr/Recruit/GI_Read/48452889?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5753&sc=630,경기 성남시 외 3,경력3년↑,02/03
5753,자동차 부품 사출 및 조립제품 개발영업 담당자 모집,㈜제로하이텍,https://www.jobkorea.co.kr/Recruit/GI_Read/48477169?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5754&sc=630,경기 화성시,경력5년↑,02/23
5754,(주)한국비엔씨 개발사업본부 RA 담당자 채용 공고,㈜한국비엔씨,https://www.jobkorea.co.kr/Recruit/GI_Read/48484191?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5755&sc=630,경기 성남시,경력3년↑,02/25
5755,자동화 로봇 개발 회사 3D 모델링 담당자 채용 [아산/연봉협의],㈜키스템프그룹,https://www.jobkorea.co.kr/Recruit/GI_Read/48420525?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5756&sc=630,충남 아산시 외 1,경력1년↑,02/03
5756,[청와옥 본사] 외식 기획(브랜드개발/마케팅/기획) 경력자 모집,청와옥본사직영광명점,https://www.jobkorea.co.kr/Recruit/GI_Read/48428517?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5757&sc=630,서울 강남구,경력10년↑,03/17
5757,"향 개발 및 브랜드 관리 담당자 [조향사, 퍼퓸디자이너]",퍼센츠,https://www.jobkorea.co.kr/Recruit/GI_Read/48390377?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5758&sc=630,경기 부천시,경력무관,02/11
5758,"제안.정보계,분석,설계,개발/03월-13개월/pm,java10명,경력자/상세참조/.",조인아이티,https://www.jobkorea.co.kr/Recruit/GI_Read/48496346?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5759&sc=630,인천 연수구,경력9년↑,02/26
5759,대한상공회의소 인력개발사업단 하이테크훈련센터 사업 운영 담당자 채용,대한상공회의소,https://www.jobkorea.co.kr/Recruit/GI_Read/48412648?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5760&sc=630,서울 중구,경력무관,01/30
5760,정부지원 스마트공장 연구개발 기획 신입담당자-서울강동구,㈜비자림,https://www.jobkorea.co.kr/Recruit/GI_Read/48388604?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5761&sc=630,서울 강동구,경력무관,02/10
5761,"웹서비스 기획·개발 경력자 모집 (글로벌 프로젝트), 3년이상",㈜프레임아웃,https://www.jobkorea.co.kr/Recruit/GI_Read/48412861?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5762&sc=630,서울 강남구,경력3년↑,02/13
5762,[교원 본사] 초등 대상 문해력 콘텐츠 기획 개발 담당자 채용 (계약직),㈜교원,https://www.jobkorea.co.kr/Recruit/GI_Read/48384122?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5763&sc=630,서울 중구,경력3년↑,02/08
5763,[엔알랩] 상품기획팀 개발 외주관리 담당자 경력 채용,엔알랩,https://www.jobkorea.co.kr/Recruit/GI_Read/48365511?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5764&sc=630,경기 성남시,경력5년↑,03/08
5764,[Vueron] B2G 사업개발 PM (정보통신기술자 중급) 채용,㈜뷰런테크놀로지,https://www.jobkorea.co.kr/Recruit/GI_Read/48371391?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5765&sc=630,서울 서초구,경력3년↑,03/09
5765,개발부 선임급 의약품 규제 업무 담당자(RA Specialist) 채용공고,KMS제약㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48361801?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5766&sc=630,경기 수원시,신입·경력1년↑,02/06
5766,[R&D부문] 생체재료연구실 GBR 제품 개발 담당자 모집 (계약직),㈜메가젠임플란트,https://www.jobkorea.co.kr/Recruit/GI_Read/48406778?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5767&sc=630,대구 수성구,경력무관,03/14
5767,"2026년 정규직 신입,경력 채용(연구개발 R&D 담당자)",㈜삼우인터내셔널,https://www.jobkorea.co.kr/Recruit/GI_Read/48494674?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5768&sc=630,경기 남양주시,신입·경력,02/28
5768,창동470구역 재개발 사무실 운영 사무직 채용 (유관 경력자 우대),창동470구역 공공재개발사업 준비위원회,https://www.jobkorea.co.kr/Recruit/GI_Read/48472205?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5769&sc=630,서울 도봉구,경력,01/30
5769,건기식 및 다이어트 식품 상품기획 개발 MD(동종업 경력자 지원),㈜허쉬드,https://www.jobkorea.co.kr/Recruit/GI_Read/48480944?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5770&sc=630,광주 서구,경력2년↑,02/25
5770,생체재료 기반 의료기기 제품개발·인허가(RA) 경력자 채용 공고,B&P Korea,https://www.jobkorea.co.kr/Recruit/GI_Read/48443755?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5771&sc=630,서울 강동구,경력3년↑,02/18
5771,사출 제조공정 생산 관리자 및 임원급 책임자 / 연구소 개발 업무 관리자,에스디아이테크㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48470828?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5772&sc=630,인천 남동구,경력10년↑,02/22
5772,[SK실트론 자회사] 면상발열체 개발설계 엔지니어 경력직 채용,㈜테라온,https://www.jobkorea.co.kr/Recruit/GI_Read/48312597?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5773&sc=630,경기 안성시,경력6년↑,01/30
5773,개발 중인 반도체 / 자동화 장비 개조 개선 조립 업무 담당자 모집,에스엠,https://www.jobkorea.co.kr/Recruit/GI_Read/48481146?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5774&sc=630,경기 광주시,경력3년↑,02/25
5774,[Polaris Labs] AI 기반 어휘 학습 콘텐츠 기획&개발담당자 채용,"㈜폴라리스랩스(Polaris Labs, Inc.)",https://www.jobkorea.co.kr/Recruit/GI_Read/48282650?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5775&sc=630,서울 송파구,경력4년↑,01/30
5775,아티브(artive) 배우컨설팅 컴퍼니  신인개발컨설팅매니져 경력직 채용,㈜아티브(ARTIVE),https://www.jobkorea.co.kr/Recruit/GI_Read/48491861?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5776&sc=630,서울 강남구,경력1년↑,02/26
5776,[아모제푸드/월 복지포인트] 컨세션 사업 개발 담당자 채용,㈜티오에스코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/48310411?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5777&sc=630,서울 강남구,경력2년↑,01/30
5777,[영업] 경상도 외 영업 관리 및 신규 매장 개발 담당자,㈜맨땅(MD),https://www.jobkorea.co.kr/Recruit/GI_Read/48449880?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5778&sc=630,경남 김해시 외 2,경력무관,01/30
5778,[Dr.Reju-All] 글로벌 제품 개발 담당자 인턴십(전환형),㈜네오심플릭스,https://www.jobkorea.co.kr/Recruit/GI_Read/48400488?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5779&sc=630,서울 강남구,경력무관,03/14
5779,(주)디오 해외사업개발팀 CIS 지역 해외영업 마케팅 담당자 채용,디오,https://www.jobkorea.co.kr/Recruit/GI_Read/48239497?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5780&sc=630,서울 강서구,경력3년↑,02/14
5780,[영업] 서울/경기 외 영업 관리 및 신규 매장 개발 담당자,㈜맨땅(MD),https://www.jobkorea.co.kr/Recruit/GI_Read/48449860?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5781&sc=630,경기 수원시 외 2,경력무관,01/30
5781,[1월-수시채용] 유통개발팀/아시아 세일즈 & 파트너십 담당자 (경력),㈜YG엔터테인먼트,https://www.jobkorea.co.kr/Recruit/GI_Read/48465663?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5782&sc=630,서울 마포구,경력,01/31
5782,(주)대양산업 접착연구소 품질관리 / 연구개발 담당자 (경력직) 모집,㈜대양산업,https://www.jobkorea.co.kr/Recruit/GI_Read/48485656?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5783&sc=630,세종,경력3년↑,02/25
5783,[캐리마텍]3D프린터 개발품질관리팀(QC/QA) 담당자 모집,㈜캐리마텍,https://www.jobkorea.co.kr/Recruit/GI_Read/48482764?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5784&sc=630,서울 강서구,신입·경력,03/27
5784,[선비꼬마김밥]서울/경기 및 특수상권 점포 개발 담당자 채용,㈜와이비에프,https://www.jobkorea.co.kr/Recruit/GI_Read/48409126?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5785&sc=630,서울 종로구,경력5년↑,02/13
5785,"대학교육(스피치, 글쓰기)분야 교육과정 및 교육 콘텐츠 개발 담당자 모집",㈜월드클래스에듀케이션,https://www.jobkorea.co.kr/Recruit/GI_Read/48453947?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5786&sc=630,서울 강남구,신입·경력,02/02
5786,[글램팜]기업부설연구소 연구개발팀(회로/기구설계) 담당자 채용,㈜언일전자,https://www.jobkorea.co.kr/Recruit/GI_Read/48489491?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5787&sc=630,경기 남양주시,경력3년↑,03/28
5787,반려동물 신약 개발 기업 810FC에서 유능한 경영/회계 담당자님을 모십니다,㈜810에프씨,https://www.jobkorea.co.kr/Recruit/GI_Read/48314072?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5788&sc=630,대전 유성구,경력무관,01/30
5788,[예비유니콘 기업] 사업개발(영업) 및 운영 담당자 모집(경력 3년 이상),㈜네이처모빌리티,https://www.jobkorea.co.kr/Recruit/GI_Read/48449702?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5789&sc=630,서울 강남구,경력무관,02/19
5789,[충청도] 농협하나로마트 영업 관리 및 신규 매장 개발 담당자,㈜와이에이비커머스(YAB Commerce),https://www.jobkorea.co.kr/Recruit/GI_Read/48489605?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5790&sc=630,대전 유성구 외 1,경력무관,01/30
5790,[인턴] 반려동물 제품사업 홍보/연구개발 담당자 모집(정규직전환가능),씨에이치디㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48437192?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5791&sc=630,경기 고양시,경력,02/18
5791,[건강식품 브랜드] 온라인 상품관리 및 거래처개발 담당자 채용,㈜더존건강,https://www.jobkorea.co.kr/Recruit/GI_Read/48365483?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5792&sc=630,부산 강서구,경력무관,02/06
5792,"오토모티브 전장 악세사리 개발사 국내 및 해외 온,오프라인 마케팅 담당자",㈜원테이크,https://www.jobkorea.co.kr/Recruit/GI_Read/48388792?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5793&sc=630,서울 금천구,신입·경력5년↑,02/10
5793,[딘토] 색조화장품 BM 상품기획/제품개발 경력자 모집 (2년 이상),주식회사 트렌드메이커,https://www.jobkorea.co.kr/Recruit/GI_Read/48369067?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5794&sc=630,서울 금천구,경력2년↑,03/08
5794,[경상도] 농협하나로마트 영업 관리 및 신규 매장 개발 담당자,㈜와이에이비커머스(YAB Commerce),https://www.jobkorea.co.kr/Recruit/GI_Read/48489587?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5795&sc=630,경북 포항시 외 2,경력무관,01/30
5795,"[서울,경기] 농협하나로마트 영업 관리 및 신규 매장 개발 담당자",㈜와이에이비커머스(YAB Commerce),https://www.jobkorea.co.kr/Recruit/GI_Read/48489549?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5796&sc=630,경기 수원시 외 2,경력무관,01/30
5796,식품제조업체 기업부설연구소 품질관리·연구개발(R&D) 담당자 채용,㈜제이푸드서비스,https://www.jobkorea.co.kr/Recruit/GI_Read/48452178?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5797&sc=630,경기 안성시,경력1년↑,02/01
5797,부동산개발시행 및 LH매입약정 실무경험자 모집 세후3백이사/인센티브,대주종합건설㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48474693?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5798&sc=630,인천 미추홀구,경력3년↑,02/22
5798,[개발부] 3D 제품설계 방폭인증 실무자-신입 및 경력직 채용,일신산업전기,https://www.jobkorea.co.kr/Recruit/GI_Read/48246407?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5799&sc=630,경기 광주시,신입·경력,02/15
5799,[마루HR/현대캐피탈 EV사업추진팀] 개발 지원 및 예산 처리 담당자 채용,㈜마루에이치알,https://www.jobkorea.co.kr/Recruit/GI_Read/48193710?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5800&sc=630,서울 중구,경력무관,02/06
5800,[김천혁신도시] 베이커리&디저트 제품 개발 및 관리 담당자 모집,농업회사법인㈜투마루,https://www.jobkorea.co.kr/Recruit/GI_Read/48496096?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5801&sc=630,경북 김천시,신입·경력,02/26
5801,[중견기업/IT] 데이타솔루션 AI 솔루션 기반 프로젝트 엔지니어,㈜데이타솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48221900?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5802&sc=630,서울 강남구,경력무관,02/10
5802,[BANDI SNC] SI개발 및 PL,반디에스앤씨㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48348434?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5803&sc=630,서울 성동구,경력5년↑,02/04
5803,"Solution Architect, AWS",메가존클라우드㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48149150?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5804&sc=630,경기 과천시,경력5년↑,01/30
5804,[백년교동짬뽕 수색본점] 주방 조리.관리 및 메뉴개발 담당자 채용,백년교동짬뽕,https://www.jobkorea.co.kr/Recruit/GI_Read/48419310?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5805&sc=630,경기 고양시,경력,03/16
5805,[주32H/재택] 우아한형제들 배민상회사업개발팀 사업 운영 담당자 채용,에이스휴먼파워㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48422301?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5806&sc=630,서울 송파구 외 5,경력무관,02/14
5806,클라우드 네이티브 엔지니어,나무기술㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48331865?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5807&sc=630,서울 강서구,경력8년↑,02/01
5807,Cloud 비용최적화(FinOps) 컨설턴트,메가존클라우드㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48243359?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5808&sc=630,경기 과천시,경력무관,01/30
5808,Application Architect,메가존클라우드㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48312582?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5809&sc=630,경기 과천시,경력10년↑,01/30
5809,[충북 오창] 공공  인프라운영 및 VM 클라우드센터 운영 경력자 모집 장기,㈜이노스트,https://www.jobkorea.co.kr/Recruit/GI_Read/48493579?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5810&sc=630,충북 청주시,경력5년↑,02/26
5810,(주)클러쉬 GPUaaS 운영팀 리더 채용,㈜클러쉬,https://www.jobkorea.co.kr/Recruit/GI_Read/48336032?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5811&sc=630,서울 강남구,경력3년↑,02/01
5811,[칵테일아이오] 클라우드 아키텍트 채용 (3년 이상),칵테일아이오(주),https://www.jobkorea.co.kr/Recruit/GI_Read/48451635?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5812&sc=630,서울 강남구,경력3년↑,02/19
5812,애플리케이션 및 클라우드 개발,㈜파이오링크,https://www.jobkorea.co.kr/Recruit/GI_Read/48442083?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5813&sc=630,서울 금천구,경력3년↑,02/18
5813,전문연구요원 애플리케이션 및 클라우드 개발,㈜파이오링크,https://www.jobkorea.co.kr/Recruit/GI_Read/48442060?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5814&sc=630,서울 금천구,경력,02/18
5814,[우리FIS] PaaS/Public 클라우드 경력 채용,우리에프아이에스㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48317920?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5815&sc=630,서울 마포구,경력2년↑,01/31
5815,"(청주시)제품개발직 생산 경력직[국내동종업체 중 금속,조관,주름관 등의  경력자우대] 채용",㈜루가플렉스,https://www.jobkorea.co.kr/Recruit/GI_Read/48440820?Oem_Code=C1&logpath=1&stext=%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=5816&sc=630,충북 청주시 외 2,경력3년↑,02/27
